ID,Titular,Data Creació,Web,Usuari,Meneos,Clics,Comentaris,Vots Positius,Vots Anònims,Vots Negatius,Sub,Karma
0, Las insignias de los campos de concentración nazis ,2021-04-12 08:58:46,https://www.curistoria.com/2021/04/las-insignias-de-los-campos-de-concentracion-nazis.html,ccguy,67,1542,17,52,15,0,actualidad,475
1," La ansiedad está en tu cuerpo, no en tu mente [en] ",2021-04-12 02:04:47,https://elemental.medium.com/anxiety-is-in-your-body-not-your-mind-93031abd14eb,Remenad0r,84,1430,13,55,29,0,ciencia,428
2, Rusia creará la primera unidad de robots de combate de la historia ,2021-04-11 23:12:57,http://charly015.blogspot.com/2021/04/rusia-creara-la-primera-unidad-de.html,me_joneo_pensando_en_ti,73,1186,56,48,25,2,actualidad,376
3, TVE se convierte en altavoz de las fake news de Alvise Pérez al entrevistarle como experto en 'Informe Semanal' ,2021-04-11 18:27:52,https://vertele.eldiario.es/noticias/tve-altavoz-fake-news-alvise-perez-bulos-informe-semanal_0_2331066886.html,dmeijide,345,1540,45,177,168,44,actualidad,386
4, Francia aprueba prohibir los vuelos domésticos cortos ,2021-04-12 03:38:00,https://www.reuters.com/article/us-climate-change-france-flights-idUSKBN2BY0AO,Ñbrevu,372,742,122,192,180,1,actualidad,420
5," Los aguarales de Valpalmas, la Capadocia aragonesa ",2021-04-11 15:33:01,http://www.enelmundoperdido.com/2021/04/los-aguarales-de-valpalmas/,Riupapapapa,105,3256,17,53,52,2,cultura,349
6, El colegio ‘gueto’ que sólo recibirá a 3 nuevos alumnos el próximo curso ,2021-04-11 17:45:54,https://diariodevalladolid.elmundo.es/articulo/valladolid/colegio-gueto-solo-recibira-3-nuevos-alumnos-proximo-curso/20210411131717397874.html,Vixx,180,2210,160,93,87,3,actualidad,426
7," La otra Sagrada Familia, un tesoro modernista cuyo costoso mantenimiento supone “un dolor de cabeza” ",2021-04-11 17:34:28,https://elpais.com/icon-design/arquitectura/2021-04-11/la-historia-de-la-otra-sagrada-familia-un-tesoro-modernista-cuyo-costoso-mantenimiento-supone-un-dolor-de-cabeza.html,CosmeIndio,132,4439,17,66,66,0,cultura,404
8, Boeing 737 MAX en problemas de nuevo: recomienda a las aerolíneas ponerlo en tierra por un nuevo error... ,2021-04-12 00:11:21,https://www.xataka.com/vehiculos/boeing-737-max-problemas-nuevo-recomienda-a-aerolineas-ponerlo-tierra-nuevo-error-sistema-electrico,A_D,164,1101,29,82,82,2,tecnología,377
9, El documental de Netflix donde un hombre se hace amigo de un pulpo ,2021-04-11 23:54:18,https://www.espinof.com/criticas/he-visto-documental-netflix-donde-hombre-se-hace-amigo-pulpo-he-encontrado-historias-amor-amistad-hermosas-ultimos-anos,NubisMusic,158,1839,53,86,72,2,ocio,398
10," Por qué las consecuencias de llevar una vida sedentaria son ""comparables con las de fumar"" ",2021-04-11 23:15:18,https://www.bbc.com/mundo/noticias-56670014,TresPiesAlGato,158,1580,47,69,89,0,actualidad,377
11, Comunicado Sociedad Española de Trombosis y Hemostasia sobre AstraZeneca ,2021-04-11 23:59:20,https://www.seth.es/index.php/noticias/noticias/noticias-de-la-seth/1793-alarmas-relacionadas-con-la-vacuna.html,Inutil,155,4619,42,86,69,30,actualidad,449
12, El explorador muere en el hielo ,2021-04-11 12:38:39,https://www.revistamercurio.es/2021/04/11/el-explorador-muere-en-el-hielo/,Tieso,97,3316,5,49,48,0,cultura,440
13, Cuando el banco se convierte en juez y 'condena' a imputados a cerrar sus cuentas ,2021-04-11 21:40:58,https://www.elconfidencial.com/amp/espana/2021-04-11/imputados-banco-cierre-cuentas-tarjetas_3028680/,Octaviano,189,996,24,84,105,0,actualidad,434
14, La Comunidad de Madrid suspende la actividad investigadora de Vivotecnia tras constatar indicios de maltrato animal ,2021-04-11 20:26:20,https://www.europapress.es/madrid/noticia-comunidad-madrid-suspende-actividad-investigadora-vivotecnia-constatar-indicios-maltrato-animal-20210411124012.html,unmundofeliz,383,683,18,178,205,0,Rescates,428
15, 13 películas imprescindibles de ciencia-ficción que demuestran que los efectos especiales no son necesarios ,2021-04-11 22:22:15,https://www.xataka.com/cine-y-tv/13-peliculas-imprescindibles-ciencia-ficcion-que-demuestran-que-efectos-especiales-no-necesarios,ChanVader,129,6888,66,81,48,20,actualidad,527
16, Un rayo impacta en el Pirulí ,2021-04-11 21:30:11,https://zonaretiro.com/sucesos/video-rayo-piruli-torrespana-madrid-10-abril-2021/,Lord_Cromwell,112,2487,21,65,47,3,actualidad,543
